Geneid,EC1,EC1yuan,EC2,EC2yuan,EC3,EC3yuan
ENSG00000215695,0,0,0,0,0,0
ENSG00000271742,0,0,0,0,0,0
ENSG00000116786,2667,2894,2686,2689,2935,2406
ENSG00000237938,25,29,14,16,26,19
ENSG00000162461,11,11,13,21,27,14
ENSG00000224459,0,0,1,0,0,0
ENSG00000162460,0,2,1,0,0,0
ENSG00000162458,2693,2105,2589,1955,2864,1719
ENSG00000224321,5,20,9,23,7,27
ENSG00000233954,242,298,240,332,216,293
ENSG00000178715,82,80,94,75,89,87
ENSG00000179743,68,36,77,38,83,54
ENSG00000065526,3844,5415,3424,5127,4185,5020
ENSG00000270620,1,0,0,0,1,0
ENSG00000116809,566,600,541,568,650,543
ENSG00000234607,3,5,0,1,3,2
ENSG00000231353,0,0,0,0,0,0
ENSG00000275503,0,0,0,0,0,0
ENSG00000224966,0,1,0,0,0,0
ENSG00000183888,0,0,0,0,0,0
ENSG00000233078,0,0,0,0,0,0
ENSG00000173641,12,4,16,0,9,0
ENSG00000186510,120,2,132,1,124,0
ENSG00000232456,68,11,74,6,61,6
ENSG00000184908,27,4,16,2,20,1
ENSG00000185519,559,91,559,109,581,104
ENSG00000142627,3969,8453,4290,7589,4352,7022
ENSG00000227959,10,26,16,27,7,15
ENSG00000224621,4,5,4,5,3,9
ENSG00000234166,0,0,0,0,0,0
ENSG00000142632,141,151,163,171,169,148
ENSG00000237276,40,6,41,22,49,12
ENSG00000288398,147,61,136,59,118,52
ENSG00000132881,128,74,102,53,124,49
ENSG00000233929,37,3,27,15,20,7
ENSG00000037637,759,468,677,526,733,513
ENSG00000055070,1579,3221,1523,3251,1535,2975
ENSG00000226457,4,0,5,1,1,3
ENSG00000187144,0,2,2,0,0,1
ENSG00000157191,1356,1421,1349,1429,1480,1338
ENSG00000226029,108,20,82,18,104,20
ENSG00000080947,517,218,468,158,581,186
ENSG00000206652,0,0,0,2,0,0
ENSG00000261135,1,0,5,0,4,1
ENSG00000285853,0,0,0,0,0,0
ENSG00000224174,0,0,0,0,0,0
ENSG00000233421,8,3,18,0,12,0
ENSG00000277344,0,0,0,0,0,0
ENSG00000225710,0,0,0,0,0,0
ENSG00000219481,789,805,800,802,917,764
ENSG00000271732,0,0,0,1,5,2
ENSG00000215908,926,1312,959,1084,1078,1000
ENSG00000283773,0,0,0,0,0,0
