,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ASPM,3277.42193367314,-2.15949971710901,0.081699847856192,-26.432114303445896,5.858969524957109e-154,6.978806530387587e-152
WDR62,1267.248374585,-2.9129675353849303,0.110350640459996,-26.3973776975127,1.4685251124420193e-153,1.7409951239148294e-151
YPEL2,534.394508223981,3.75259934949615,0.142212093545594,26.387343410376396,1.9145186034539195e-153,2.2591319520756293e-151
FTH1P11,2032.1917098741299,2.5377864169764,0.0962484253434521,26.367043491055398,3.2729395061826887e-153,3.844105507447689e-151
SLC9A3-AS1,966.46047015804,3.2720017279551,0.12412495988064699,26.3605461069338,3.885415629691259e-153,4.5423386796742484e-151
TRIB2,671.115032149226,3.04317921520168,0.11546797740264801,26.355179017207604,4.476753043115409e-153,5.209537688698169e-151
EFNA1,4783.726309982129,1.7087321216159999,0.0648708212250571,26.340534763509,6.588310430059057e-153,7.631560320176667e-151
NOLC1,3406.44329994621,-1.64826531901701,0.0626617855730795,-26.304154979668102,1.7189113975972494e-152,1.9820068772660093e-150
BTBD2,2515.12463977719,2.34854692159523,0.0892881746902385,26.303000702421,1.7719782191897797e-152,2.0339088177718293e-150
COL6A1,1251.460193916,2.3793099855095297,0.0904826426607527,26.2957614360391,2.1441844261912394e-152,2.449997517202769e-150
PFAS,2710.9917734158303,-2.16393948544625,0.0823102744433077,-26.290028797519003,2.493542340563309e-152,2.836348251527229e-150
RASSF4,601.149254689656,3.22796465804129,0.12285213507778699,26.275201940914002,3.683838965614389e-152,4.1714933434840587e-150
CD109,6233.16123160812,2.06977287099064,0.0789006293615305,26.2326535002242,1.1275532065990597e-151,1.2711148916535496e-149
PFKFB4,1761.2090112852802,1.9464171895111,0.074241530641383,26.217363417695303,1.6847444253942696e-151,1.8908073880024895e-149
CXCL1,6838.53706555136,-1.76850139037141,0.0674668325089644,-26.212900837406696,1.8941510533615492e-151,2.116420460154239e-149
TROAP,1014.2514647852199,-2.42029437199781,0.09242396165153301,-26.186871118153,3.749929549489999e-151,4.1715075323225284e-149
